	qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore
18452	gene_40_contig_154566	gene_15_contig_156409	82.69200000000001	104	18	0	156	259	3	106	7.76e-56	171.0
18453	gene_40_contig_154566	gene_66_contig_155688	76.786	112	20	1	148	259	7	112	9.409999999999999e-55	168.0
18732	gene_41_SAMEA2619923_17	gene_41_SAMEA2621085_65	71.839	522	145	2	1	521	1	521	0.0	784.0
18734	gene_41_SAMEA2619923_17	gene_74_SAMEA2621151_40	65.97399999999999	529	171	6	1	521	1	528	0.0	717.0
18735	gene_41_SAMEA2619923_17	gene_76_contig_155688	66.604	533	160	9	1	520	1	528	0.0	692.0
18736	gene_41_SAMEA2619923_17	gene_11_contig_154566	62.075	559	173	8	1	520	1	559	0.0	659.0
18829	gene_41_SAMEA2621085_65	gene_74_SAMEA2621151_40	74.242	528	129	4	1	521	1	528	0.0	811.0
18830	gene_41_SAMEA2621085_65	gene_41_SAMEA2619923_17	71.839	522	145	2	1	521	1	521	0.0	784.0
18832	gene_41_SAMEA2621085_65	gene_76_contig_155688	68.868	530	153	5	1	520	1	528	0.0	730.0
18833	gene_41_SAMEA2621085_65	gene_11_contig_154566	60.286	559	183	9	1	520	1	559	0.0	666.0
19012	gene_41_contig_156409	gene_63_contig_154566	58.47	183	58	3	1	183	1	165	2.8799999999999994e-72	212.0
19015	gene_41_contig_156409	gene_24_SAMEA2621151_40	53.513999999999996	185	77	3	1	185	1	176	1.5999999999999997e-63	190.0
19016	gene_41_contig_156409	gene_82_SAMEA2619923_17	58.385	161	47	4	25	183	1	143	8.119999999999999e-60	180.0
19018	gene_41_contig_156409	gene_94_SAMEA2621085_65	51.891999999999996	185	69	3	1	182	1	168	1.9299999999999997e-58	177.0
19019	gene_41_contig_156409	gene_24_contig_155688	55.975	159	52	3	25	183	1	141	9.37e-55	167.0
19220	gene_42_SAMEA2619923_17	gene_43_SAMEA2621085_65	71.812	149	41	1	1	148	1	149	1.4099999999999998e-80	231.0
19222	gene_42_SAMEA2619923_17	gene_72_SAMEA2621151_40	67.11399999999999	149	48	1	1	148	1	149	5.729999999999999e-74	214.0
19223	gene_42_SAMEA2619923_17	gene_9_contig_154566	65.101	149	51	1	1	148	1	149	4.749999999999999e-73	211.0
19224	gene_42_SAMEA2619923_17	gene_74_contig_155688	59.732	149	59	1	1	148	1	149	9.12e-65	191.0
19225	gene_42_SAMEA2619923_17	gene_96_contig_156409	57.746	142	59	1	7	147	4	145	9.359999999999998e-62	183.0
19755	gene_43_SAMEA2621085_65	gene_72_SAMEA2621151_40	75.168	149	37	0	1	149	1	149	8.599999999999999e-86	244.0
19756	gene_43_SAMEA2621085_65	gene_42_SAMEA2619923_17	71.812	149	41	1	1	149	1	148	1.4199999999999997e-80	231.0
19757	gene_43_SAMEA2621085_65	gene_9_contig_154566	72.483	149	41	0	1	149	1	149	8.06e-80	229.0
19759	gene_43_SAMEA2621085_65	gene_74_contig_155688	64.43	149	53	0	1	149	1	149	1.4999999999999996e-68	200.0
19760	gene_43_SAMEA2621085_65	gene_96_contig_156409	55.943999999999996	143	63	0	6	148	3	145	1.6899999999999996e-62	185.0
20099	gene_44_SAMEA2621085_65	gene_8_contig_154566	50.79	443	190	10	247	674	314	743	1.6699999999999996e-145	437.0
20160	gene_44_SAMEA2621151_40	gene_71_SAMEA2621085_65	56.17	235	100	2	2	233	80	314	1.1499999999999997e-93	274.0
20162	gene_44_SAMEA2621151_40	gene_83_contig_154566	55.372	242	88	6	6	233	97	332	1.9199999999999998e-89	264.0
21045	gene_46_SAMEA2621085_65	gene_69_SAMEA2621151_40	63.043	92	31	2	1	91	31	120	3.2699999999999997e-42	130.0
21046	gene_46_SAMEA2621085_65	gene_6_contig_154566	62.637	91	33	1	1	91	32	121	1.12e-40	126.0
21079	gene_46_SAMEA2621151_40	gene_69_SAMEA2621085_65	52.19	799	362	9	1	798	17	796	0.0	847.0
21970	gene_48_SAMEA2621151_40	gene_87_contig_154566	98.387	62	1	0	6	67	1	62	1.45e-40	123.0
21971	gene_48_SAMEA2621151_40	gene_72_SAMEA2621085_65	79.661	59	12	0	6	64	1	59	1.04e-32	103.0
21972	gene_48_SAMEA2621151_40	gene_64_SAMEA2619923_17	79.661	59	12	0	6	64	1	59	3.14e-31	99.8
22965	gene_4_contig_156409	gene_103_contig_154566	57.273	110	40	2	131	240	174	276	7.03e-25	105.0
23154	gene_50_SAMEA2619923_17	gene_50_SAMEA2621085_65	52.756	127	51	2	5330	5449	4946	5070	3.19e-34	142.0
23169	gene_50_SAMEA2619923_17	gene_67_contig_155688	50.42	119	54	2	5331	5449	4975	5088	9.01e-30	128.0
23190	gene_50_SAMEA2619923_17	gene_64_SAMEA2621151_40	59.292	113	44	1	5337	5449	4895	5005	5.23e-36	148.0
23315	gene_50_SAMEA2621085_65	gene_50_SAMEA2619923_17	52.756	127	51	2	4946	5070	5330	5449	2.74e-34	142.0
23759	gene_51_SAMEA2621151_40	gene_66_SAMEA2621085_65	55.342	365	162	1	1	365	4	367	1.1099999999999997e-164	461.0
23761	gene_51_SAMEA2621151_40	gene_57_contig_155688	51.105	362	174	2	1	361	1	360	8.709999999999997e-139	395.0
23763	gene_51_SAMEA2621151_40	gene_92_contig_154566	52.479	242	109	2	126	362	1	241	3.1599999999999996e-91	270.0
23765	gene_51_SAMEA2621151_40	gene_91_contig_154566	52.727	110	52	0	1	110	1	110	8.06e-38	128.0
23899	gene_51_contig_155688	gene_85_contig_154566	51.995	752	318	10	1	733	58	785	0.0	778.0
24202	gene_52_SAMEA2621085_65	gene_62_SAMEA2621151_40	66.957	115	37	1	1	115	1	114	8.61e-57	168.0
24203	gene_52_SAMEA2621085_65	gene_106_contig_154566	59.13	115	46	1	1	115	1	114	1.73e-48	147.0
24204	gene_52_SAMEA2621085_65	gene_63_contig_155688	60.952	105	40	1	10	114	1	104	3.1899999999999994e-42	130.0
24223	gene_52_SAMEA2621151_40	gene_64_SAMEA2621085_65	65.471	223	72	1	7	224	8	230	1.7399999999999997e-109	310.0
24224	gene_52_SAMEA2621151_40	gene_93_contig_154566	64.47399999999999	228	76	1	5	227	1	228	2.1699999999999993e-108	307.0
24225	gene_52_SAMEA2621151_40	gene_58_contig_155688	60.714	224	82	1	7	224	8	231	1.8199999999999996e-102	293.0
24250	gene_52_contig_154566	gene_16_SAMEA2621151_40	52.381	189	78	4	53	240	1	178	6.16e-60	195.0
24636	gene_53_SAMEA2621085_65	gene_54_SAMEA2621085_65	58.946999999999996	95	38	1	443	536	250	344	7.31e-19	87.4
24666	gene_53_SAMEA2621151_40	gene_63_SAMEA2621085_65	65.59100000000001	465	159	1	1	464	1	465	0.0	660.0
24668	gene_53_SAMEA2621151_40	gene_59_contig_155688	50.0	466	227	3	1	462	1	464	1.7099999999999997e-172	489.0
24669	gene_53_SAMEA2621151_40	gene_94_contig_154566	61.14	386	148	2	77	461	1	385	1.2999999999999996e-167	474.0
24951	gene_54_SAMEA2621085_65	gene_53_SAMEA2621085_65	58.946999999999996	95	38	1	250	344	443	536	7.940000000000001e-19	87.4
25000	gene_54_SAMEA2621151_40	gene_62_SAMEA2621085_65	66.01	203	68	1	1	202	1	203	5.549999999999999e-102	289.0
25001	gene_54_SAMEA2621151_40	gene_60_contig_155688	58.416000000000004	202	82	2	1	202	21	220	1.3899999999999999e-86	251.0
25003	gene_54_SAMEA2621151_40	gene_95_contig_154566	57.353	204	85	2	1	202	1	204	4.0799999999999997e-82	239.0
25004	gene_54_SAMEA2621151_40	gene_18_contig_156409	50.99	202	94	3	1	202	1	197	2.8699999999999993e-74	219.0
25317	gene_55_SAMEA2619923_17	gene_96_contig_154566	54.455	505	217	8	5	503	2	499	0.0	527.0
25729	gene_56_SAMEA2619923_17	gene_60_contig_155688	53.233999999999995	201	87	3	3	200	24	220	1.6e-74	220.0
25730	gene_56_SAMEA2619923_17	gene_18_contig_156409	54.545	198	86	2	3	200	4	197	1.6499999999999997e-73	217.0
25731	gene_56_SAMEA2619923_17	gene_62_SAMEA2621085_65	53.17100000000001	205	84	5	3	200	4	203	5.19e-72	213.0
25816	gene_56_SAMEA2621151_40	gene_61_contig_155688	50.19	526	220	11	13	533	16	504	1.3399999999999995e-163	471.0
26195	gene_57_SAMEA2621151_40	gene_97_contig_154566	81.395	86	16	0	1	86	1	86	3.3e-51	151.0
26196	gene_57_SAMEA2621151_40	gene_58_SAMEA2621085_65	71.622	74	21	0	4	77	1	74	2.1399999999999996e-37	117.0
26290	gene_57_contig_155688	gene_66_SAMEA2621085_65	55.125	361	160	2	1	360	4	363	5.399999999999998e-155	436.0
26292	gene_57_contig_155688	gene_51_SAMEA2621151_40	51.105	362	174	2	1	360	1	361	8.539999999999999e-139	395.0
26296	gene_57_contig_155688	gene_91_contig_154566	60.909	110	43	0	1	110	1	110	1.8800000000000001e-47	153.0
26560	gene_58_SAMEA2621085_65	gene_57_SAMEA2621151_40	71.622	74	21	0	1	74	4	77	2.07e-37	117.0
26561	gene_58_SAMEA2621085_65	gene_97_contig_154566	70.27	74	22	0	1	74	4	77	7.809999999999998e-37	115.0
26709	gene_58_contig_155688	gene_64_SAMEA2621085_65	68.24	233	73	1	1	233	1	232	5.679999999999999e-122	342.0
26710	gene_58_contig_155688	gene_93_contig_154566	66.22800000000001	228	76	1	6	233	1	227	8.879999999999997e-119	334.0
26711	gene_58_contig_155688	gene_52_SAMEA2621151_40	60.714	224	82	1	8	231	7	224	1.8599999999999997e-102	293.0
26953	gene_59_SAMEA2619923_17	gene_64_SAMEA2621085_65	55.505	218	96	1	2	219	16	232	1.7699999999999993e-83	244.0
27085	gene_59_SAMEA2621151_40	gene_101_contig_154566	54.236999999999995	118	31	2	404	511	619	723	1.4000000000000002e-23	105.0
27264	gene_59_contig_155688	gene_53_SAMEA2621151_40	50.0	466	227	3	1	464	1	462	1.7099999999999997e-172	489.0
27265	gene_59_contig_155688	gene_63_SAMEA2621085_65	50.538000000000004	465	226	3	1	464	1	462	1.0599999999999997e-171	487.0
27517	gene_5_contig_154566	gene_68_SAMEA2621151_40	57.143	70	30	0	1	70	24	93	2.3500000000000002e-26	88.6
27882	gene_60_SAMEA2621085_65	gene_96_contig_154566	55.876000000000005	485	212	2	12	496	14	496	0.0	553.0
27883	gene_60_SAMEA2621085_65	gene_61_contig_155688	50.8	500	239	6	3	497	7	504	1.3699999999999998e-172	492.0
27922	gene_60_SAMEA2621151_40	gene_4_contig_156409	67.91	134	38	1	115	248	131	259	1.4e-43	167.0
28087	gene_60_contig_155688	gene_62_SAMEA2621085_65	58.128	203	82	3	21	220	1	203	7.569999999999999e-87	251.0
28088	gene_60_contig_155688	gene_54_SAMEA2621151_40	58.416000000000004	202	82	2	21	220	1	202	1.5199999999999998e-86	251.0
28090	gene_60_contig_155688	gene_18_contig_156409	51.244	201	93	2	21	220	1	197	3.609999999999999e-76	224.0
28091	gene_60_contig_155688	gene_56_SAMEA2619923_17	53.233999999999995	201	87	3	24	220	3	200	1.7599999999999998e-74	220.0
28092	gene_60_contig_155688	gene_95_contig_154566	50.49	204	97	3	21	220	1	204	3.0099999999999994e-72	214.0
28295	gene_61_SAMEA2619923_17	gene_91_contig_154566	52.885	104	48	1	3	106	4	106	1.02e-32	114.0
28534	gene_61_contig_155688	gene_96_contig_154566	60.835	503	191	5	5	506	2	499	0.0	619.0
28535	gene_61_contig_155688	gene_60_SAMEA2621085_65	50.8	500	239	6	7	504	3	497	1.7999999999999997e-167	479.0
28537	gene_61_contig_155688	gene_56_SAMEA2621151_40	50.19	526	220	11	16	504	13	533	1.2699999999999995e-163	471.0
28774	gene_62_SAMEA2621085_65	gene_54_SAMEA2621151_40	66.01	203	68	1	1	203	1	202	5.579999999999999e-102	289.0
28775	gene_62_SAMEA2621085_65	gene_60_contig_155688	58.128	203	82	3	1	203	21	220	6.9599999999999985e-87	251.0
28777	gene_62_SAMEA2621085_65	gene_95_contig_154566	54.63399999999999	205	90	3	1	203	1	204	8.339999999999999e-76	223.0
28778	gene_62_SAMEA2621085_65	gene_18_contig_156409	52.708999999999996	203	90	4	1	203	1	197	3.979999999999999e-75	221.0
28779	gene_62_SAMEA2621085_65	gene_56_SAMEA2619923_17	53.17100000000001	205	84	5	4	203	3	200	5.269999999999999e-72	213.0
28816	gene_62_SAMEA2621151_40	gene_106_contig_154566	64.035	114	41	0	1	114	1	114	3.329999999999999e-57	169.0
28817	gene_62_SAMEA2621151_40	gene_52_SAMEA2621085_65	66.957	115	37	1	1	114	1	115	8.540000000000001e-57	168.0
28819	gene_62_SAMEA2621151_40	gene_63_contig_155688	56.731	104	45	0	10	113	1	104	3.42e-42	130.0
29186	gene_63_SAMEA2621085_65	gene_53_SAMEA2621151_40	65.59100000000001	465	159	1	1	465	1	464	0.0	660.0
29188	gene_63_SAMEA2621085_65	gene_59_contig_155688	50.538000000000004	465	226	3	1	462	1	464	1.0599999999999997e-171	487.0
29189	gene_63_SAMEA2621085_65	gene_94_contig_154566	60.668	389	150	3	77	464	1	387	4.319999999999999e-170	480.0
29237	gene_63_contig_154566	gene_94_SAMEA2621085_65	68.824	170	49	2	1	166	1	170	1.04e-81	235.0
29238	gene_63_contig_154566	gene_24_contig_155688	75.0	140	35	0	25	164	1	140	1.1399999999999998e-76	221.0
29239	gene_63_contig_154566	gene_82_SAMEA2619923_17	71.831	142	38	1	25	164	1	142	3.679999999999999e-74	215.0
29241	gene_63_contig_154566	gene_41_contig_156409	58.47	183	58	3	1	165	1	183	2.549999999999999e-72	212.0
29242	gene_63_contig_154566	gene_24_SAMEA2621151_40	57.225	173	65	1	1	164	1	173	8.099999999999999e-71	207.0
29369	gene_63_contig_155688	gene_106_contig_154566	53.846000000000004	104	48	0	1	104	10	113	4.3899999999999994e-43	133.0
29370	gene_63_contig_155688	gene_52_SAMEA2621085_65	60.952	105	40	1	1	104	10	114	2.91e-42	130.0
29371	gene_63_contig_155688	gene_62_SAMEA2621151_40	56.731	104	45	0	1	104	10	113	3.15e-42	130.0
29530	gene_64_SAMEA2619923_17	gene_87_contig_154566	79.661	59	12	0	1	59	1	59	1.81e-31	100.0
29531	gene_64_SAMEA2619923_17	gene_72_SAMEA2621085_65	72.131	61	17	0	1	61	1	61	2.68e-31	99.8
29532	gene_64_SAMEA2619923_17	gene_48_SAMEA2621151_40	79.661	59	12	0	1	59	6	64	2.91e-31	99.8
29596	gene_64_SAMEA2621085_65	gene_93_contig_154566	71.806	227	64	0	6	232	1	227	4.889999999999999e-133	370.0
29598	gene_64_SAMEA2621085_65	gene_58_contig_155688	68.24	233	73	1	1	232	1	233	5.659999999999999e-122	342.0
29599	gene_64_SAMEA2621085_65	gene_52_SAMEA2621151_40	65.471	223	72	1	8	230	7	224	1.7699999999999995e-109	310.0
29600	gene_64_SAMEA2621085_65	gene_59_SAMEA2619923_17	55.505	218	96	1	16	232	2	219	1.7899999999999996e-83	244.0
29601	gene_64_SAMEA2621085_65	gene_20_contig_156409	50.655	229	110	2	3	229	2	229	3.2799999999999993e-75	223.0
29646	gene_64_SAMEA2621151_40	gene_1_contig_154566	50.141999999999996	4928	2062	109	799	5500	448	5206	0.0	4475.0
29649	gene_64_SAMEA2621151_40	gene_50_SAMEA2621085_65	51.62	1451	616	25	4074	5498	4151	5541	0.0	1433.0
29651	gene_64_SAMEA2621151_40	gene_67_contig_155688	51.361999999999995	771	344	15	4741	5500	4822	5572	0.0	717.0
29667	gene_64_SAMEA2621151_40	gene_50_SAMEA2619923_17	59.292	113	44	1	4895	5005	5337	5449	4.6599999999999995e-36	148.0
30451	gene_66_SAMEA2621085_65	gene_51_SAMEA2621151_40	55.342	365	162	1	4	367	1	365	1.0999999999999997e-164	461.0
30452	gene_66_SAMEA2621085_65	gene_57_contig_155688	55.125	361	160	2	4	363	1	360	5.4799999999999984e-155	436.0
30454	gene_66_SAMEA2621085_65	gene_92_contig_154566	57.261	241	98	1	129	364	1	241	2.3899999999999997e-103	301.0
30456	gene_66_SAMEA2621085_65	gene_91_contig_154566	62.727	110	41	0	4	113	1	110	6.99e-48	154.0
30637	gene_66_contig_155688	gene_40_contig_154566	76.786	112	20	1	7	112	148	259	4.79e-55	168.0
30638	gene_66_contig_155688	gene_98_SAMEA2621151_40	77.273	110	21	2	7	112	29	138	2.5399999999999997e-54	162.0
30639	gene_66_contig_155688	gene_15_contig_156409	80.952	105	15	1	13	112	2	106	7.41e-54	160.0
30640	gene_66_contig_155688	gene_12_SAMEA2621085_65	85.10600000000001	94	14	0	19	112	13	106	1.55e-51	154.0
31018	gene_67_contig_155688	gene_64_SAMEA2621151_40	51.361999999999995	771	344	15	4822	5572	4741	5500	0.0	741.0
31020	gene_67_contig_155688	gene_1_contig_154566	51.601000000000006	781	340	18	4822	5572	4434	5206	0.0	766.0
31021	gene_67_contig_155688	gene_1_contig_154566	52.316	367	165	6	370	729	1	364	1.1199999999999998e-99	359.0
31040	gene_67_contig_155688	gene_50_SAMEA2619923_17	50.42	119	54	2	4975	5088	5331	5449	7.989999999999999e-30	128.0
31309	gene_68_SAMEA2621151_40	gene_5_contig_154566	57.143	70	30	0	24	93	1	70	3.1200000000000003e-26	88.6
31597	gene_69_SAMEA2621085_65	gene_46_SAMEA2621151_40	52.19	799	362	9	17	796	1	798	0.0	847.0
31598	gene_69_SAMEA2621085_65	gene_85_contig_154566	50.251000000000005	796	376	7	16	795	1	792	0.0	808.0
31653	gene_69_SAMEA2621151_40	gene_6_contig_154566	62.711999999999996	118	44	0	3	120	4	121	5.64e-58	171.0
31655	gene_69_SAMEA2621151_40	gene_46_SAMEA2621085_65	63.043	92	31	2	31	120	1	91	4.3099999999999997e-42	130.0
31656	gene_69_SAMEA2621151_40	gene_71_contig_155688	50.575	87	42	1	31	116	1	87	3.91e-30	100.0
32100	gene_6_contig_154566	gene_69_SAMEA2621151_40	62.711999999999996	118	44	0	4	121	3	120	5.69e-58	171.0
32102	gene_6_contig_154566	gene_46_SAMEA2621085_65	62.637	91	33	1	32	121	1	91	1.4899999999999998e-40	126.0
32410	gene_70_SAMEA2621151_40	gene_72_contig_155688	52.43899999999999	82	31	2	114	194	55	129	1.29e-20	80.9
32634	gene_70_contig_156409	gene_103_contig_155688	61.538000000000004	78	30	0	1	78	1	78	1.59e-31	102.0
32848	gene_71_SAMEA2621085_65	gene_44_SAMEA2621151_40	56.17	235	100	2	80	314	2	233	1.5399999999999995e-93	274.0
33004	gene_71_contig_155688	gene_69_SAMEA2621151_40	50.575	87	42	1	1	87	31	116	2.96e-30	100.0
33056	gene_71_contig_156409	gene_15_SAMEA2619923_17	59.583	240	92	3	1	238	3	239	2.689999999999999e-109	311.0
33057	gene_71_contig_156409	gene_95_SAMEA2621151_40	56.846000000000004	241	97	3	1	239	1	236	7.059999999999997e-104	297.0
33058	gene_71_contig_156409	gene_17_SAMEA2621085_65	54.393	239	104	3	2	238	1	236	1.0199999999999998e-98	284.0
33060	gene_71_contig_156409	gene_102_contig_155688	53.75	240	106	3	1	238	1	237	1.88e-95	275.0
33061	gene_71_contig_156409	gene_34_contig_154566	55.702	228	96	3	13	238	12	236	3.739999999999999e-95	275.0
33216	gene_72_SAMEA2621085_65	gene_87_contig_154566	79.661	59	12	0	1	59	1	59	6.45e-33	103.0
33217	gene_72_SAMEA2621085_65	gene_48_SAMEA2621151_40	79.661	59	12	0	1	59	6	64	9.47e-33	103.0
33218	gene_72_SAMEA2621085_65	gene_64_SAMEA2619923_17	72.131	61	17	0	1	61	1	61	2.6399999999999998e-31	99.8
33261	gene_72_SAMEA2621151_40	gene_9_contig_154566	83.221	149	25	0	1	149	1	149	3.189999999999999e-92	260.0
33262	gene_72_SAMEA2621151_40	gene_43_SAMEA2621085_65	75.168	149	37	0	1	149	1	149	8.599999999999999e-86	244.0
33264	gene_72_SAMEA2621151_40	gene_42_SAMEA2619923_17	67.11399999999999	149	48	1	1	149	1	148	5.769999999999999e-74	214.0
33265	gene_72_SAMEA2621151_40	gene_74_contig_155688	64.43	149	53	0	1	149	1	149	3.019999999999999e-72	209.0
33266	gene_72_SAMEA2621151_40	gene_96_contig_156409	57.343	143	61	0	6	148	3	145	2.4499999999999998e-62	184.0
33397	gene_72_contig_156409	gene_19_SAMEA2621085_65	50.22	227	104	5	15	234	65	289	2.3899999999999995e-74	227.0
33398	gene_72_contig_156409	gene_94_SAMEA2621151_40	55.33	197	87	1	11	207	54	249	6.849999999999999e-73	223.0
33929	gene_74_SAMEA2621151_40	gene_41_SAMEA2621085_65	74.242	528	129	4	1	528	1	521	0.0	811.0
33930	gene_74_SAMEA2621151_40	gene_76_contig_155688	70.189	530	153	3	1	527	1	528	0.0	758.0
33931	gene_74_SAMEA2621151_40	gene_41_SAMEA2619923_17	65.97399999999999	529	171	6	1	528	1	521	0.0	717.0
33933	gene_74_SAMEA2621151_40	gene_11_contig_154566	60.531000000000006	565	179	13	1	527	1	559	0.0	640.0
34060	gene_74_contig_155688	gene_72_SAMEA2621151_40	64.43	149	53	0	1	149	1	149	3.019999999999999e-72	209.0
34061	gene_74_contig_155688	gene_9_contig_154566	65.101	149	52	0	1	149	1	149	2.39e-71	207.0
34063	gene_74_contig_155688	gene_43_SAMEA2621085_65	64.43	149	53	0	1	149	1	149	1.4999999999999996e-68	200.0
34064	gene_74_contig_155688	gene_42_SAMEA2619923_17	59.732	149	59	1	1	149	1	148	9.19e-65	191.0
34065	gene_74_contig_155688	gene_96_contig_156409	56.643	143	62	0	6	148	3	145	7.519999999999998e-58	173.0
34234	gene_75_SAMEA2621151_40	gene_39_SAMEA2621085_65	53.763000000000005	93	41	1	1	91	1	93	6.3e-38	119.0
34235	gene_75_SAMEA2621151_40	gene_12_contig_154566	50.505	99	47	2	1	97	1	99	3.62e-33	107.0
34236	gene_75_SAMEA2621151_40	gene_78_contig_155688	53.571000000000005	84	38	1	13	96	1	83	2.59e-32	104.0
34409	gene_75_contig_156409	gene_22_SAMEA2621085_65	51.54600000000001	194	92	2	2	194	22	214	1.5399999999999997e-75	223.0
34674	gene_76_contig_155688	gene_74_SAMEA2621151_40	70.377	530	152	3	1	528	1	527	0.0	773.0
34675	gene_76_contig_155688	gene_41_SAMEA2621085_65	68.868	530	153	5	1	528	1	520	0.0	749.0
34677	gene_76_contig_155688	gene_41_SAMEA2619923_17	66.604	533	160	9	1	528	1	520	0.0	706.0
34678	gene_76_contig_155688	gene_11_contig_154566	58.172	569	187	12	1	528	1	559	0.0	628.0
35221	gene_78_SAMEA2621151_40	gene_31_SAMEA2619923_17	75.628	398	86	5	1	391	1	394	0.0	632.0
35222	gene_78_SAMEA2621151_40	gene_35_SAMEA2621085_65	80.102	392	61	5	1	391	1	376	0.0	622.0
35224	gene_78_SAMEA2621151_40	gene_17_contig_154566	77.551	392	72	5	1	391	1	377	0.0	610.0
35225	gene_78_SAMEA2621151_40	gene_83_contig_155688	76.215	391	68	4	1	391	1	366	0.0	599.0
35226	gene_78_SAMEA2621151_40	gene_88_contig_156409	68.02	394	110	6	1	391	1	381	0.0	558.0
35428	gene_78_contig_155688	gene_75_SAMEA2621151_40	53.571000000000005	84	38	1	1	83	13	96	2.2499999999999997e-32	104.0
35429	gene_78_contig_155688	gene_12_contig_154566	65.079	63	22	0	21	83	36	98	2.5599999999999998e-30	99.4
35430	gene_78_contig_155688	gene_39_SAMEA2621085_65	51.22	82	37	1	1	79	13	94	2.44e-28	94.4
35639	gene_79_SAMEA2621151_40	gene_18_contig_154566	64.301	465	152	9	8	464	1	459	0.0	531.0
35640	gene_79_SAMEA2621151_40	gene_34_SAMEA2621085_65	63.203	462	154	6	12	464	11	465	0.0	518.0
35641	gene_79_SAMEA2621151_40	gene_84_contig_155688	58.13399999999999	461	159	10	19	464	15	456	1.5399999999999997e-172	489.0
35642	gene_79_SAMEA2621151_40	gene_30_SAMEA2619923_17	56.36	456	181	8	15	465	17	459	1.5699999999999993e-165	471.0
35643	gene_79_SAMEA2621151_40	gene_87_contig_156409	50.107	469	212	8	12	465	9	470	1.1999999999999995e-145	421.0
36059	gene_7_contig_154566	gene_72_contig_155688	50.515	97	41	3	97	190	51	143	1.31e-24	90.9
36384	gene_80_SAMEA2621151_40	gene_33_SAMEA2621085_65	53.181000000000004	393	170	6	1432	1815	1357	1744	3.1499999999999994e-118	409.0
36555	gene_80_contig_156409	gene_94_contig_155688	51.992	477	217	4	1	466	1	476	0.0	513.0
36557	gene_80_contig_156409	gene_23_SAMEA2619923_17	50.538000000000004	465	218	4	5	458	7	470	1.629999999999999e-180	510.0
36558	gene_80_contig_156409	gene_86_SAMEA2621151_40	50.526	475	223	4	1	464	3	476	6.889999999999998e-174	493.0
36683	gene_81_SAMEA2621085_65	gene_34_SAMEA2621151_40	61.333	225	82	2	2	225	24	244	3.409999999999999e-83	244.0
36684	gene_81_SAMEA2621085_65	gene_16_contig_155688	54.46	213	80	6	18	225	7	207	5.309999999999999e-69	207.0
36720	gene_81_SAMEA2621151_40	gene_32_SAMEA2621085_65	54.902	204	55	2	2	168	3	206	3.859999999999999e-67	199.0
36828	gene_81_contig_155688	gene_33_SAMEA2619923_17	58.696000000000005	92	37	1	13	104	3	93	1.6e-32	107.0
36957	gene_82_SAMEA2619923_17	gene_24_contig_155688	75.342	146	34	1	1	146	1	144	4.749999999999999e-79	226.0
36959	gene_82_SAMEA2619923_17	gene_63_contig_154566	71.831	142	38	1	1	142	25	164	3.239999999999999e-74	215.0
36960	gene_82_SAMEA2619923_17	gene_24_SAMEA2621151_40	57.419	155	55	2	1	146	25	177	1.1799999999999999e-61	184.0
36961	gene_82_SAMEA2619923_17	gene_94_SAMEA2621085_65	62.068999999999996	145	51	2	1	142	25	168	1.57e-60	181.0
36962	gene_82_SAMEA2619923_17	gene_41_contig_156409	58.385	161	47	4	1	143	25	183	6.309999999999999e-60	180.0
37068	gene_82_SAMEA2621151_40	gene_87_contig_155688	51.402	107	50	2	4	109	3	108	4.37e-31	103.0
37213	gene_82_contig_156409	gene_25_SAMEA2619923_17	58.615	592	226	3	4	594	3	576	0.0	725.0
37214	gene_82_contig_156409	gene_29_SAMEA2621085_65	57.262	599	234	7	1	595	1	581	0.0	694.0
37215	gene_82_contig_156409	gene_23_contig_154566	56.61600000000001	597	233	9	1	594	1	574	0.0	683.0
37217	gene_82_contig_156409	gene_84_SAMEA2621151_40	60.326	552	187	10	30	578	1	523	0.0	677.0
37218	gene_82_contig_156409	gene_89_contig_155688	55.519	607	246	8	4	603	3	592	0.0	672.0
37462	gene_83_contig_154566	gene_44_SAMEA2621151_40	55.372	242	88	6	97	332	6	233	2.7299999999999996e-89	264.0
37543	gene_83_contig_155688	gene_31_SAMEA2619923_17	75.635	394	68	2	1	366	1	394	0.0	630.0
37544	gene_83_contig_155688	gene_35_SAMEA2621085_65	81.915	376	58	3	1	366	1	376	0.0	623.0
37545	gene_83_contig_155688	gene_78_SAMEA2621151_40	76.215	391	68	4	1	366	1	391	0.0	619.0
37546	gene_83_contig_155688	gene_17_contig_154566	80.637	377	62	3	1	366	1	377	0.0	613.0
37548	gene_83_contig_155688	gene_88_contig_156409	71.916	381	92	4	1	366	1	381	0.0	570.0
37692	gene_84_SAMEA2621151_40	gene_29_SAMEA2621085_65	73.118	558	136	3	1	545	30	586	0.0	840.0
37693	gene_84_SAMEA2621151_40	gene_23_contig_154566	72.40100000000001	558	137	3	1	545	27	580	0.0	838.0
37694	gene_84_SAMEA2621151_40	gene_89_contig_155688	67.788	565	160	3	1	544	29	592	0.0	804.0
37695	gene_84_SAMEA2621151_40	gene_25_SAMEA2619923_17	65.018	566	165	6	1	545	29	582	0.0	758.0
37696	gene_84_SAMEA2621151_40	gene_82_contig_156409	66.592	449	146	3	1	446	30	477	0.0	662.0
