,Station,LONGITUDE,LATITUDE,Depth,Protocol Label,Fraction,RUN,Region,ENA-SAMPLE,genome_name,genome_group,variable,val
8895,TARA_068,,,50.0,GIRUS_NUC-dry_W0.22-0.45,BACT,ERR594294,SAO,ERS490303,"gi|124024712|ref|NC_008819.1| Prochlorococcus marinus_NATL1A, complete genome",Prochlorococcus,n_count,1.35911269591
8899,TARA_068,,,50.0,GIRUS_NUC-dry_W0.22-0.45,BACT,ERR594294,SAO,ERS490303,"gi|78211558|ref|NC_007516.1| Synechococcus sp. CC9605, complete genome",Synechococcus,n_count,0.263348412592
8937,TARA_068,,,50.0,GIRUS_NUC-dry_W0.22-0.45,BACT,ERR594294,SAO,ERS490303,"gi|564614004|ref|NZ_AZAL01000001.1| Candidatus Pelagibacter ubique HIMB083 Pelub83DRAFT_scaffold_0.1_C, whole genome shotgun sequence",SAR11,n_count,23.9164436732
8940,TARA_068,,,50.0,GIRUS_NUC-dry_W0.22-0.45,BACT,ERR594294,SAO,ERS490303,"gi|123967536|ref|NC_008816.1| Prochlorococcus marinus_AS9601, complete genome",Prochlorococcus,n_count,0.241601476162
8943,TARA_068,,,50.0,GIRUS_NUC-dry_W0.22-0.45,BACT,ERR594294,SAO,ERS490303,"gi|657650469|ref|NZ_KL370779.1| Candidatus Pelagibacter ubique HTCC7214 genomic scaffold P769DRAFT_scaffold00001.1, whole genome shotgun sequence",SAR11,n_count,30.3303095983
8945,TARA_068,,,50.0,GIRUS_NUC-dry_W0.22-0.45,BACT,ERR594294,SAO,ERS490303,"gi|123965234|ref|NC_008817.1| Prochlorococcus marinus_MIT 9515, complete genome",Prochlorococcus,n_count,0.377943626428
8947,TARA_068,,,50.0,GIRUS_NUC-dry_W0.22-0.45,BACT,ERR594294,SAO,ERS490303,"gi|124021714|ref|NC_008820.1| Prochlorococcus marinus_MIT 9303, complete genome",Prochlorococcus,n_count,0.164642101027
8956,TARA_068,,,50.0,GIRUS_NUC-dry_W0.22-0.45,BACT,ERR594294,SAO,ERS490303,gi|33860560|ref|NC_005072.1| Prochlorococcus marinus MED4 complete genome,Prochlorococcus,n_count,7.23235381474
8973,TARA_068,,,50.0,GIRUS_NUC-dry_W0.22-0.45,BACT,ERR594294,SAO,ERS490303,"gi|113952711|ref|NC_008319.1| Synechococcus sp. CC9311, complete genome",Synechococcus,n_count,0.238269730408
8979,TARA_068,,,50.0,GIRUS_NUC-dry_W0.22-0.45,BACT,ERR594294,SAO,ERS490303,gi|148241099|ref|NC_009482.1| Synechococcus sp. RCC307 genomic DNA sequence,Synechococcus,n_count,0.526468392549
9002,TARA_041,,,5.0,GIRUS_NUC-dry_W0.1-0.22,VIRUS,ERR594295,IO,ERS489047,"gi|657650469|ref|NZ_KL370779.1| Candidatus Pelagibacter ubique HTCC7214 genomic scaffold P769DRAFT_scaffold00001.1, whole genome shotgun sequence",SAR11,n_count,0.0973164609978
9028,TARA_041,,,5.0,GIRUS_NUC-dry_W0.1-0.22,VIRUS,ERR594295,IO,ERS489047,"gi|124021714|ref|NC_008820.1| Prochlorococcus marinus_MIT 9303, complete genome",Prochlorococcus,n_count,0.0463959100016
9044,TARA_041,,,5.0,GIRUS_NUC-dry_W0.1-0.22,VIRUS,ERR594295,IO,ERS489047,"gi|902974237|ref|NZ_LN847356.1| Synechococcus sp. WH 8103 genome assembly WH8103.1, chromosome : 1",Synechococcus,n_count,0.0522764127997
9049,TARA_041,,,5.0,GIRUS_NUC-dry_W0.1-0.22,VIRUS,ERR594295,IO,ERS489047,gi|33239452|ref|NC_005042.1| Prochlorococcus marinus subsp. marinus_CCMP1375 complete genome,Prochlorococcus,n_count,0.105829745027
9053,TARA_041,,,5.0,GIRUS_NUC-dry_W0.1-0.22,VIRUS,ERR594295,IO,ERS489047,gi|33864539|ref|NC_005070.1| Synechococcus sp. WH 8102 complete genome,Synechococcus,n_count,0.0554337224976
9064,TARA_041,,,5.0,GIRUS_NUC-dry_W0.1-0.22,VIRUS,ERR594295,IO,ERS489047,"gi|211594022|ref|NZ_CH724130.1| Candidatus Pelagibacter ubique HTCC1002 scf_1099314759170 genomic scaffold, whole genome shotgun sequence",SAR11,n_count,0.0661843165192
9074,TARA_041,,,5.0,GIRUS_NUC-dry_W0.1-0.22,VIRUS,ERR594295,IO,ERS489047,"gi|657651831|ref|NZ_JNIU01000001.1| Candidatus Pelagibacter ubique HTCC7217 P773DRAFT_scaffold00001.1_C, whole genome shotgun sequence",SAR11,n_count,0.0984314782322
9077,TARA_041,,,5.0,GIRUS_NUC-dry_W0.1-0.22,VIRUS,ERR594295,IO,ERS489047,"gi|113952711|ref|NC_008319.1| Synechococcus sp. CC9311, complete genome",Synechococcus,n_count,0.0523942922785
9096,TARA_041,,,5.0,GIRUS_NUC-dry_W0.1-0.22,VIRUS,ERR594295,IO,ERS489047,"gi|157412338|ref|NC_009840.1| Prochlorococcus marinus_MIT 9215, complete genome",Prochlorococcus,n_count,0.26852218701
9106,TARA_041,,,5.0,GIRUS_NUC-dry_W0.1-0.22,VIRUS,ERR594295,IO,ERS489047,gi|159887716|gb|CP000878.1| Prochlorococcus marinus_MIT 9211 genome,Prochlorococcus,n_count,0.10380805777
9116,TARA_041,,,5.0,GIRUS_NUC-dry_W0.1-0.22,VIRUS,ERR594295,IO,ERS489047,"gi|123965234|ref|NC_008817.1| Prochlorococcus marinus_MIT 9515, complete genome",Prochlorococcus,n_count,0.177496350556
9121,TARA_041,,,5.0,GIRUS_NUC-dry_W0.1-0.22,VIRUS,ERR594295,IO,ERS489047,"gi|71082709|ref|NC_007205.1| Candidatus Pelagibacter ubique HTCC1062, complete genome",SAR11,n_count,0.0725305740982
9143,TARA_041,,,5.0,GIRUS_NUC-dry_W0.1-0.22,VIRUS,ERR594295,IO,ERS489047,gi|148238336|ref|NC_009481.1| Synechococcus WH7803 complete genome sequence,Synechococcus,n_count,0.0564446907493
9171,TARA_041,,,5.0,GIRUS_NUC-dry_W0.1-0.22,VIRUS,ERR594295,IO,ERS489047,gi|148241099|ref|NC_009482.1| Synechococcus sp. RCC307 genomic DNA sequence,Synechococcus,n_count,0.0522800412887
9176,TARA_041,,,5.0,GIRUS_NUC-dry_W0.1-0.22,VIRUS,ERR594295,IO,ERS489047,"gi|78183584|ref|NC_007513.1| Synechococcus sp. CC9902, complete genome",Synechococcus,n_count,0.0632692127864
9199,TARA_041,,,5.0,GIRUS_NUC-dry_W0.1-0.22,VIRUS,ERR594295,IO,ERS489047,gi|33862273|ref|NC_005071.1| Prochlorococcus marinus MIT9313 complete genome,Prochlorococcus,n_count,0.0579733971292
9202,TARA_041,,,5.0,GIRUS_NUC-dry_W0.1-0.22,VIRUS,ERR594295,IO,ERS489047,"gi|560891698|ref|NZ_KI421440.1| Candidatus Pelagibacter ubique HTCC8051 genomic scaffold HTC8051_Contig1.1, whole genome shotgun sequence",SAR11,n_count,0.134821983422
9204,TARA_041,,,5.0,GIRUS_NUC-dry_W0.1-0.22,VIRUS,ERR594295,IO,ERS489047,gi|33860560|ref|NC_005072.1| Prochlorococcus marinus MED4 complete genome,Prochlorococcus,n_count,0.196796796539
9218,TARA_041,,,5.0,GIRUS_NUC-dry_W0.1-0.22,VIRUS,ERR594295,IO,ERS489047,"gi|78211558|ref|NC_007516.1| Synechococcus sp. CC9605, complete genome",Synechococcus,n_count,0.110407382868
9228,TARA_041,,,5.0,GIRUS_NUC-dry_W0.1-0.22,VIRUS,ERR594295,IO,ERS489047,"gi|564614004|ref|NZ_AZAL01000001.1| Candidatus Pelagibacter ubique HIMB083 Pelub83DRAFT_scaffold_0.1_C, whole genome shotgun sequence",SAR11,n_count,0.363890933768
9232,TARA_041,,,5.0,GIRUS_NUC-dry_W0.1-0.22,VIRUS,ERR594295,IO,ERS489047,"gi|162958048|ref|NC_007335.2| Prochlorococcus marinus_NATL2A, complete genome",Prochlorococcus,n_count,0.233710402189
9239,TARA_041,,,5.0,GIRUS_NUC-dry_W0.1-0.22,VIRUS,ERR594295,IO,ERS489047,"gi|123967536|ref|NC_008816.1| Prochlorococcus marinus_AS9601, complete genome",Prochlorococcus,n_count,1.56027409888
9243,TARA_041,,,5.0,GIRUS_NUC-dry_W0.1-0.22,VIRUS,ERR594295,IO,ERS489047,"gi|124024712|ref|NC_008819.1| Prochlorococcus marinus_NATL1A, complete genome",Prochlorococcus,n_count,0.371686041063
9253,TARA_124,,,5.0,GIRUS_NUC-dry_W0.45-0.8,BACT,ERR594296,SPO,ERS492820,gi|33862273|ref|NC_005071.1| Prochlorococcus marinus MIT9313 complete genome,Prochlorococcus,n_count,0.0907812281092
9256,TARA_124,,,5.0,GIRUS_NUC-dry_W0.45-0.8,BACT,ERR594296,SPO,ERS492820,"gi|124021714|ref|NC_008820.1| Prochlorococcus marinus_MIT 9303, complete genome",Prochlorococcus,n_count,0.102427005852
9260,TARA_124,,,5.0,GIRUS_NUC-dry_W0.45-0.8,BACT,ERR594296,SPO,ERS492820,gi|33860560|ref|NC_005072.1| Prochlorococcus marinus MED4 complete genome,Prochlorococcus,n_count,3.35745976797
9263,TARA_124,,,5.0,GIRUS_NUC-dry_W0.45-0.8,BACT,ERR594296,SPO,ERS492820,"gi|78211558|ref|NC_007516.1| Synechococcus sp. CC9605, complete genome",Synechococcus,n_count,45.00710287
9276,TARA_124,,,5.0,GIRUS_NUC-dry_W0.45-0.8,BACT,ERR594296,SPO,ERS492820,"gi|211594022|ref|NZ_CH724130.1| Candidatus Pelagibacter ubique HTCC1002 scf_1099314759170 genomic scaffold, whole genome shotgun sequence",SAR11,n_count,0.317693324599
9286,TARA_124,,,5.0,GIRUS_NUC-dry_W0.45-0.8,BACT,ERR594296,SPO,ERS492820,"gi|902974237|ref|NZ_LN847356.1| Synechococcus sp. WH 8103 genome assembly WH8103.1, chromosome : 1",Synechococcus,n_count,5.45586670623
9288,TARA_124,,,5.0,GIRUS_NUC-dry_W0.45-0.8,BACT,ERR594296,SPO,ERS492820,gi|148241099|ref|NC_009482.1| Synechococcus sp. RCC307 genomic DNA sequence,Synechococcus,n_count,0.611619636806
9297,TARA_124,,,5.0,GIRUS_NUC-dry_W0.45-0.8,BACT,ERR594296,SPO,ERS492820,"gi|78183584|ref|NC_007513.1| Synechococcus sp. CC9902, complete genome",Synechococcus,n_count,0.603204175113
9338,TARA_124,,,5.0,GIRUS_NUC-dry_W0.45-0.8,BACT,ERR594296,SPO,ERS492820,"gi|124024712|ref|NC_008819.1| Prochlorococcus marinus_NATL1A, complete genome",Prochlorococcus,n_count,1.18050748683
9343,TARA_124,,,5.0,GIRUS_NUC-dry_W0.45-0.8,BACT,ERR594296,SPO,ERS492820,"gi|113952711|ref|NC_008319.1| Synechococcus sp. CC9311, complete genome",Synechococcus,n_count,0.227036433722
9356,TARA_124,,,5.0,GIRUS_NUC-dry_W0.45-0.8,BACT,ERR594296,SPO,ERS492820,"gi|657651831|ref|NZ_JNIU01000001.1| Candidatus Pelagibacter ubique HTCC7217 P773DRAFT_scaffold00001.1_C, whole genome shotgun sequence",SAR11,n_count,0.716521250375
9371,TARA_124,,,5.0,GIRUS_NUC-dry_W0.45-0.8,BACT,ERR594296,SPO,ERS492820,"gi|123967536|ref|NC_008816.1| Prochlorococcus marinus_AS9601, complete genome",Prochlorococcus,n_count,2.77828186149
9379,TARA_124,,,5.0,GIRUS_NUC-dry_W0.45-0.8,BACT,ERR594296,SPO,ERS492820,"gi|71082709|ref|NC_007205.1| Candidatus Pelagibacter ubique HTCC1062, complete genome",SAR11,n_count,0.458580973328
9398,TARA_124,,,5.0,GIRUS_NUC-dry_W0.45-0.8,BACT,ERR594296,SPO,ERS492820,"gi|560891698|ref|NZ_KI421440.1| Candidatus Pelagibacter ubique HTCC8051 genomic scaffold HTC8051_Contig1.1, whole genome shotgun sequence",SAR11,n_count,0.867851451592
9414,TARA_124,,,5.0,GIRUS_NUC-dry_W0.45-0.8,BACT,ERR594296,SPO,ERS492820,gi|33239452|ref|NC_005042.1| Prochlorococcus marinus subsp. marinus_CCMP1375 complete genome,Prochlorococcus,n_count,0.4239334719
9432,TARA_124,,,5.0,GIRUS_NUC-dry_W0.45-0.8,BACT,ERR594296,SPO,ERS492820,"gi|162958048|ref|NC_007335.2| Prochlorococcus marinus_NATL2A, complete genome",Prochlorococcus,n_count,2.9514931462
9445,TARA_124,,,5.0,GIRUS_NUC-dry_W0.45-0.8,BACT,ERR594296,SPO,ERS492820,"gi|564614004|ref|NZ_AZAL01000001.1| Candidatus Pelagibacter ubique HIMB083 Pelub83DRAFT_scaffold_0.1_C, whole genome shotgun sequence",SAR11,n_count,5.4599286709
9461,TARA_124,,,5.0,GIRUS_NUC-dry_W0.45-0.8,BACT,ERR594296,SPO,ERS492820,"gi|157412338|ref|NC_009840.1| Prochlorococcus marinus_MIT 9215, complete genome",Prochlorococcus,n_count,4.01288535417
9479,TARA_124,,,5.0,GIRUS_NUC-dry_W0.45-0.8,BACT,ERR594296,SPO,ERS492820,gi|148238336|ref|NC_009481.1| Synechococcus WH7803 complete genome sequence,Synechococcus,n_count,1.43965952179
9488,TARA_124,,,5.0,GIRUS_NUC-dry_W0.45-0.8,BACT,ERR594296,SPO,ERS492820,"gi|657650469|ref|NZ_KL370779.1| Candidatus Pelagibacter ubique HTCC7214 genomic scaffold P769DRAFT_scaffold00001.1, whole genome shotgun sequence",SAR11,n_count,2.78081167111
9498,TARA_124,,,5.0,GIRUS_NUC-dry_W0.45-0.8,BACT,ERR594296,SPO,ERS492820,gi|159887716|gb|CP000878.1| Prochlorococcus marinus_MIT 9211 genome,Prochlorococcus,n_count,0.486831340455
9502,TARA_124,,,5.0,GIRUS_NUC-dry_W0.45-0.8,BACT,ERR594296,SPO,ERS492820,gi|33864539|ref|NC_005070.1| Synechococcus sp. WH 8102 complete genome,Synechococcus,n_count,7.73649931901
9505,TARA_124,,,5.0,GIRUS_NUC-dry_W0.45-0.8,BACT,ERR594296,SPO,ERS492820,"gi|123965234|ref|NC_008817.1| Prochlorococcus marinus_MIT 9515, complete genome",Prochlorococcus,n_count,7.76110230406
9510,TARA_068,,,5.0,GIRUS_NUC-dry_W0.45-0.8,BACT,ERR594297,SAO,ERS490273,"gi|124024712|ref|NC_008819.1| Prochlorococcus marinus_NATL1A, complete genome",Prochlorococcus,n_count,6.98973954526
9521,TARA_068,,,5.0,GIRUS_NUC-dry_W0.45-0.8,BACT,ERR594297,SAO,ERS490273,"gi|71082709|ref|NC_007205.1| Candidatus Pelagibacter ubique HTCC1062, complete genome",SAR11,n_count,1.52359855187
9531,TARA_068,,,5.0,GIRUS_NUC-dry_W0.45-0.8,BACT,ERR594297,SAO,ERS490273,"gi|123967536|ref|NC_008816.1| Prochlorococcus marinus_AS9601, complete genome",Prochlorococcus,n_count,0.456462764549
9545,TARA_068,,,5.0,GIRUS_NUC-dry_W0.45-0.8,BACT,ERR594297,SAO,ERS490273,"gi|124021714|ref|NC_008820.1| Prochlorococcus marinus_MIT 9303, complete genome",Prochlorococcus,n_count,0.191686368664
9552,TARA_068,,,5.0,GIRUS_NUC-dry_W0.45-0.8,BACT,ERR594297,SAO,ERS490273,"gi|78211558|ref|NC_007516.1| Synechococcus sp. CC9605, complete genome",Synechococcus,n_count,0.914439889426
9567,TARA_068,,,5.0,GIRUS_NUC-dry_W0.45-0.8,BACT,ERR594297,SAO,ERS490273,"gi|157412338|ref|NC_009840.1| Prochlorococcus marinus_MIT 9215, complete genome",Prochlorococcus,n_count,0.765639747854
9590,TARA_068,,,5.0,GIRUS_NUC-dry_W0.45-0.8,BACT,ERR594297,SAO,ERS490273,gi|148238336|ref|NC_009481.1| Synechococcus WH7803 complete genome sequence,Synechococcus,n_count,0.735905429757
9593,TARA_068,,,5.0,GIRUS_NUC-dry_W0.45-0.8,BACT,ERR594297,SAO,ERS490273,"gi|564614004|ref|NZ_AZAL01000001.1| Candidatus Pelagibacter ubique HIMB083 Pelub83DRAFT_scaffold_0.1_C, whole genome shotgun sequence",SAR11,n_count,7.09467647448
9596,TARA_068,,,5.0,GIRUS_NUC-dry_W0.45-0.8,BACT,ERR594297,SAO,ERS490273,gi|33862273|ref|NC_005071.1| Prochlorococcus marinus MIT9313 complete genome,Prochlorococcus,n_count,0.200304410652
9601,TARA_068,,,5.0,GIRUS_NUC-dry_W0.45-0.8,BACT,ERR594297,SAO,ERS490273,"gi|78183584|ref|NC_007513.1| Synechococcus sp. CC9902, complete genome",Synechococcus,n_count,13.3842239313
9607,TARA_068,,,5.0,GIRUS_NUC-dry_W0.45-0.8,BACT,ERR594297,SAO,ERS490273,gi|33239452|ref|NC_005042.1| Prochlorococcus marinus subsp. marinus_CCMP1375 complete genome,Prochlorococcus,n_count,0.181708850049
9609,TARA_068,,,5.0,GIRUS_NUC-dry_W0.45-0.8,BACT,ERR594297,SAO,ERS490273,gi|159887716|gb|CP000878.1| Prochlorococcus marinus_MIT 9211 genome,Prochlorococcus,n_count,0.219962063105
9610,TARA_068,,,5.0,GIRUS_NUC-dry_W0.45-0.8,BACT,ERR594297,SAO,ERS490273,"gi|162958048|ref|NC_007335.2| Prochlorococcus marinus_NATL2A, complete genome",Prochlorococcus,n_count,46.0272792625
9617,TARA_068,,,5.0,GIRUS_NUC-dry_W0.45-0.8,BACT,ERR594297,SAO,ERS490273,"gi|902974237|ref|NZ_LN847356.1| Synechococcus sp. WH 8103 genome assembly WH8103.1, chromosome : 1",Synechococcus,n_count,0.885387080371
9624,TARA_068,,,5.0,GIRUS_NUC-dry_W0.45-0.8,BACT,ERR594297,SAO,ERS490273,"gi|123965234|ref|NC_008817.1| Prochlorococcus marinus_MIT 9515, complete genome",Prochlorococcus,n_count,3.1942948799
9630,TARA_068,,,5.0,GIRUS_NUC-dry_W0.45-0.8,BACT,ERR594297,SAO,ERS490273,"gi|560891698|ref|NZ_KI421440.1| Candidatus Pelagibacter ubique HTCC8051 genomic scaffold HTC8051_Contig1.1, whole genome shotgun sequence",SAR11,n_count,5.64750673104
9634,TARA_068,,,5.0,GIRUS_NUC-dry_W0.45-0.8,BACT,ERR594297,SAO,ERS490273,"gi|211594022|ref|NZ_CH724130.1| Candidatus Pelagibacter ubique HTCC1002 scf_1099314759170 genomic scaffold, whole genome shotgun sequence",SAR11,n_count,2.35261155215
9643,TARA_068,,,5.0,GIRUS_NUC-dry_W0.45-0.8,BACT,ERR594297,SAO,ERS490273,gi|148241099|ref|NC_009482.1| Synechococcus sp. RCC307 genomic DNA sequence,Synechococcus,n_count,0.399235753608
9679,TARA_068,,,5.0,GIRUS_NUC-dry_W0.45-0.8,BACT,ERR594297,SAO,ERS490273,"gi|657651831|ref|NZ_JNIU01000001.1| Candidatus Pelagibacter ubique HTCC7217 P773DRAFT_scaffold00001.1_C, whole genome shotgun sequence",SAR11,n_count,4.02543431247
9711,TARA_068,,,5.0,GIRUS_NUC-dry_W0.45-0.8,BACT,ERR594297,SAO,ERS490273,"gi|657650469|ref|NZ_KL370779.1| Candidatus Pelagibacter ubique HTCC7214 genomic scaffold P769DRAFT_scaffold00001.1, whole genome shotgun sequence",SAR11,n_count,10.7834805262
9725,TARA_068,,,5.0,GIRUS_NUC-dry_W0.45-0.8,BACT,ERR594297,SAO,ERS490273,gi|33864539|ref|NC_005070.1| Synechococcus sp. WH 8102 complete genome,Synechococcus,n_count,1.08084005543
9754,TARA_068,,,5.0,GIRUS_NUC-dry_W0.45-0.8,BACT,ERR594297,SAO,ERS490273,gi|33860560|ref|NC_005072.1| Prochlorococcus marinus MED4 complete genome,Prochlorococcus,n_count,144.814631309
9756,TARA_068,,,5.0,GIRUS_NUC-dry_W0.45-0.8,BACT,ERR594297,SAO,ERS490273,"gi|113952711|ref|NC_008319.1| Synechococcus sp. CC9311, complete genome",Synechococcus,n_count,1.3330973875
9780,TARA_076,,,150.0,GIRUS_NUC-dry_W0.45-0.8,BACT,ERR594298,SAO,ERS490603,gi|33864539|ref|NC_005070.1| Synechococcus sp. WH 8102 complete genome,Synechococcus,n_count,0.0302671722829
9787,TARA_076,,,150.0,GIRUS_NUC-dry_W0.45-0.8,BACT,ERR594298,SAO,ERS490603,"gi|71082709|ref|NC_007205.1| Candidatus Pelagibacter ubique HTCC1062, complete genome",SAR11,n_count,0.881477894357
9798,TARA_076,,,150.0,GIRUS_NUC-dry_W0.45-0.8,BACT,ERR594298,SAO,ERS490603,"gi|902974237|ref|NZ_LN847356.1| Synechococcus sp. WH 8103 genome assembly WH8103.1, chromosome : 1",Synechococcus,n_count,0.0342957246952
9800,TARA_076,,,150.0,GIRUS_NUC-dry_W0.45-0.8,BACT,ERR594298,SAO,ERS490603,gi|159887716|gb|CP000878.1| Prochlorococcus marinus_MIT 9211 genome,Prochlorococcus,n_count,0.236816301818
9811,TARA_076,,,150.0,GIRUS_NUC-dry_W0.45-0.8,BACT,ERR594298,SAO,ERS490603,"gi|113952711|ref|NC_008319.1| Synechococcus sp. CC9311, complete genome",Synechococcus,n_count,0.0243148392703
9820,TARA_076,,,150.0,GIRUS_NUC-dry_W0.45-0.8,BACT,ERR594298,SAO,ERS490603,"gi|123965234|ref|NC_008817.1| Prochlorococcus marinus_MIT 9515, complete genome",Prochlorococcus,n_count,0.841586678163
9828,TARA_076,,,150.0,GIRUS_NUC-dry_W0.45-0.8,BACT,ERR594298,SAO,ERS490603,gi|33239452|ref|NC_005042.1| Prochlorococcus marinus subsp. marinus_CCMP1375 complete genome,Prochlorococcus,n_count,0.459557350298
9845,TARA_076,,,150.0,GIRUS_NUC-dry_W0.45-0.8,BACT,ERR594298,SAO,ERS490603,"gi|78211558|ref|NC_007516.1| Synechococcus sp. CC9605, complete genome",Synechococcus,n_count,0.212099324752
9847,TARA_076,,,150.0,GIRUS_NUC-dry_W0.45-0.8,BACT,ERR594298,SAO,ERS490603,gi|148238336|ref|NC_009481.1| Synechococcus WH7803 complete genome sequence,Synechococcus,n_count,0.0347886377394
9848,TARA_076,,,150.0,GIRUS_NUC-dry_W0.45-0.8,BACT,ERR594298,SAO,ERS490603,"gi|657651831|ref|NZ_JNIU01000001.1| Candidatus Pelagibacter ubique HTCC7217 P773DRAFT_scaffold00001.1_C, whole genome shotgun sequence",SAR11,n_count,1.46198348077
9865,TARA_076,,,150.0,GIRUS_NUC-dry_W0.45-0.8,BACT,ERR594298,SAO,ERS490603,gi|33862273|ref|NC_005071.1| Prochlorococcus marinus MIT9313 complete genome,Prochlorococcus,n_count,0.103901741449
9886,TARA_076,,,150.0,GIRUS_NUC-dry_W0.45-0.8,BACT,ERR594298,SAO,ERS490603,"gi|78183584|ref|NC_007513.1| Synechococcus sp. CC9902, complete genome",Synechococcus,n_count,0.0341335860299
9887,TARA_076,,,150.0,GIRUS_NUC-dry_W0.45-0.8,BACT,ERR594298,SAO,ERS490603,"gi|211594022|ref|NZ_CH724130.1| Candidatus Pelagibacter ubique HTCC1002 scf_1099314759170 genomic scaffold, whole genome shotgun sequence",SAR11,n_count,1.16576755051
9890,TARA_076,,,150.0,GIRUS_NUC-dry_W0.45-0.8,BACT,ERR594298,SAO,ERS490603,gi|33860560|ref|NC_005072.1| Prochlorococcus marinus MED4 complete genome,Prochlorococcus,n_count,2.31221569843
9903,TARA_076,,,150.0,GIRUS_NUC-dry_W0.45-0.8,BACT,ERR594298,SAO,ERS490603,"gi|564614004|ref|NZ_AZAL01000001.1| Candidatus Pelagibacter ubique HIMB083 Pelub83DRAFT_scaffold_0.1_C, whole genome shotgun sequence",SAR11,n_count,7.09850116611
9922,TARA_076,,,150.0,GIRUS_NUC-dry_W0.45-0.8,BACT,ERR594298,SAO,ERS490603,"gi|124024712|ref|NC_008819.1| Prochlorococcus marinus_NATL1A, complete genome",Prochlorococcus,n_count,3.94907599127
9947,TARA_076,,,150.0,GIRUS_NUC-dry_W0.45-0.8,BACT,ERR594298,SAO,ERS490603,gi|148241099|ref|NC_009482.1| Synechococcus sp. RCC307 genomic DNA sequence,Synechococcus,n_count,0.0441619237901
9958,TARA_076,,,150.0,GIRUS_NUC-dry_W0.45-0.8,BACT,ERR594298,SAO,ERS490603,"gi|123967536|ref|NC_008816.1| Prochlorococcus marinus_AS9601, complete genome",Prochlorococcus,n_count,12.2907566385
9967,TARA_076,,,150.0,GIRUS_NUC-dry_W0.45-0.8,BACT,ERR594298,SAO,ERS490603,"gi|657650469|ref|NZ_KL370779.1| Candidatus Pelagibacter ubique HTCC7214 genomic scaffold P769DRAFT_scaffold00001.1, whole genome shotgun sequence",SAR11,n_count,2.99674108943
9981,TARA_076,,,150.0,GIRUS_NUC-dry_W0.45-0.8,BACT,ERR594298,SAO,ERS490603,"gi|124021714|ref|NC_008820.1| Prochlorococcus marinus_MIT 9303, complete genome",Prochlorococcus,n_count,0.753834543058
9985,TARA_076,,,150.0,GIRUS_NUC-dry_W0.45-0.8,BACT,ERR594298,SAO,ERS490603,"gi|162958048|ref|NC_007335.2| Prochlorococcus marinus_NATL2A, complete genome",Prochlorococcus,n_count,22.3391109378
9994,TARA_076,,,150.0,GIRUS_NUC-dry_W0.45-0.8,BACT,ERR594298,SAO,ERS490603,"gi|157412338|ref|NC_009840.1| Prochlorococcus marinus_MIT 9215, complete genome",Prochlorococcus,n_count,62.6326073664
10005,TARA_076,,,150.0,GIRUS_NUC-dry_W0.45-0.8,BACT,ERR594298,SAO,ERS490603,"gi|560891698|ref|NZ_KI421440.1| Candidatus Pelagibacter ubique HTCC8051 genomic scaffold HTC8051_Contig1.1, whole genome shotgun sequence",SAR11,n_count,4.20333935613
10035,TARA_070,,,800.0,GIRUS_NUC-dry_W0.22-0.45,BACT,ERR594299,SAO,ERS490380,gi|33239452|ref|NC_005042.1| Prochlorococcus marinus subsp. marinus_CCMP1375 complete genome,Prochlorococcus,n_count,0.0254837068249
10041,TARA_070,,,800.0,GIRUS_NUC-dry_W0.22-0.45,BACT,ERR594299,SAO,ERS490380,"gi|71082709|ref|NC_007205.1| Candidatus Pelagibacter ubique HTCC1062, complete genome",SAR11,n_count,1.86435839761
10055,TARA_070,,,800.0,GIRUS_NUC-dry_W0.22-0.45,BACT,ERR594299,SAO,ERS490380,"gi|123965234|ref|NC_008817.1| Prochlorococcus marinus_MIT 9515, complete genome",Prochlorococcus,n_count,0.0211681182887
10059,TARA_070,,,800.0,GIRUS_NUC-dry_W0.22-0.45,BACT,ERR594299,SAO,ERS490380,gi|33860560|ref|NC_005072.1| Prochlorococcus marinus MED4 complete genome,Prochlorococcus,n_count,0.145745532536
10064,TARA_070,,,800.0,GIRUS_NUC-dry_W0.22-0.45,BACT,ERR594299,SAO,ERS490380,gi|148238336|ref|NC_009481.1| Synechococcus WH7803 complete genome sequence,Synechococcus,n_count,0.0220529287048
10078,TARA_070,,,800.0,GIRUS_NUC-dry_W0.22-0.45,BACT,ERR594299,SAO,ERS490380,"gi|124021714|ref|NC_008820.1| Prochlorococcus marinus_MIT 9303, complete genome",Prochlorococcus,n_count,0.0102134592276
10082,TARA_070,,,800.0,GIRUS_NUC-dry_W0.22-0.45,BACT,ERR594299,SAO,ERS490380,"gi|113952711|ref|NC_008319.1| Synechococcus sp. CC9311, complete genome",Synechococcus,n_count,0.0198614713123
10084,TARA_070,,,800.0,GIRUS_NUC-dry_W0.22-0.45,BACT,ERR594299,SAO,ERS490380,"gi|157412338|ref|NC_009840.1| Prochlorococcus marinus_MIT 9215, complete genome",Prochlorococcus,n_count,0.0251606167344
10090,TARA_070,,,800.0,GIRUS_NUC-dry_W0.22-0.45,BACT,ERR594299,SAO,ERS490380,gi|33862273|ref|NC_005071.1| Prochlorococcus marinus MIT9313 complete genome,Prochlorococcus,n_count,0.0149527576557
